Name,Type,Parent,Colour (big RGB),Mass (kg),Equatorial Radius (km),Polar Radius (km),Datatype,"Data (km, deg) [sourced from ssd.jpl.nasa.gov/horizons/app] (EC, QR, IN, OM, W, Tp, N, MA, TA, A, AD, PR)",Right Ascension of north pole (deg),Declination of north pole (deg),Meridian angle at epoch (deg),Angle per day,Texture alignment (deg)
Sol,Body,FALSE,"255,245,156",1.99E+30,695700,695700,State,0,286.13,63.87,84.176,14.1844,0
Mercury,Body,Sol,"228,218,235",3.30E+23,2440.5,2438.3,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.931336883616999E-01,  4.426797962659954E+07,  7.105113403431981E+00,  4.914491962467451E+01,  3.557495209179250E+01,  1.341966092569224E+06,  5.139694972252841E-05,  2.910270362108817E+02,  2.689807380496121E+02,  5.486408217578909E+07,  6.546018472497863E+07,  7.004306713598689E+06,",281.01,61.45,329.548,6.14,0
Venus,Body,Sol,"240,212,113",4.87E+24,6051.84,6051.84,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.253662832186701E-02,  1.080117094459973E+08,  3.385265474992190E+00,  7.708747155658827E+01,  3.447685790923226E+02, -1.831485032780413E+06,  1.825758250654601E-05,  3.343848909549253E+01,  3.424056793295463E+01,  1.093830035056775E+08,  1.107542975653577E+08,  1.971783503489177E+07,",272.76,67.16,160.2,-1.4813688,0
ELB,Barycentre,Sol,"107,155,250",None,None,None,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  2.192083721923350E-02,  1.476722807924244E+08,  7.441051578408130E-03,  1.938673900775660E+01,  6.318889942268216E+01, -1.540347382764113E+06,  1.125849110490881E-05,  1.734198730731933E+01,  1.811079757459485E+01,  1.509819311277206E+08,  1.542915814630169E+08,  3.197586573950719E+07,",None,None,None,None,None
Earth,Body,ELB,"107,155,250",5.97E+24,6378.137,6356.732,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  7.097579789946781E-02,  4.349045266447821E+03,  5.182393007198422E+00,  6.093679776912998E+01,  3.064812418085337E+01,  9.320410287642294E+04,  1.521919013248375E-04,  3.458150903719614E+02,  3.436357819153653E+02,  4.681304595310423E+03,  5.013563924173025E+03,  2.365434670742552E+06,",0,90,190.147,360.9856235,0
Luna,Body,ELB,"230,230,230",7.35E+22,1738.1,1736,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  7.097579789941713E-02,  3.535798513832199E+05,  5.182393007198418E+00,  6.093679776912997E+01,  2.106481241808646E+02,  9.320410287648642E+04,  1.521919013248541E-04,  3.458150903719502E+02,  3.436357819153541E+02,  3.805927236166220E+05,  4.076055958500241E+05,  2.365434670742294E+06,",269.9949,66.5392,38.3213,13.17635815,0
Mars,Body,Sol,"204,124,090",6.42E+23,3396.2,3376.2,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  9.850958162847712E-02,  2.057935720183637E+08,  1.847739110810780E+00,  4.936479715086139E+01,  2.864475438081555E+02,  1.473793518589612E+07,  6.055686522938327E-06,  2.707516845188304E+02,  2.595184224545807E+02,  2.282814856647227E+08,  2.507693993110817E+08,  5.944825555886298E+07,",317.68143,52.8865,176.63,350.8919823,0
Phobos,Body,Mars,"179,138,134",1.06E+16,11.4,9.1,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.461986816934429E-02,  9.242011764207244E+03,  2.598090848547617E+01,  8.109041825745949E+01,  2.425437670676032E+02,  1.179174909324864E+04,  1.305402240912698E-02,  2.060702430939295E+02,  2.053459060662928E+02,  9.379133458919332E+03,  9.516255153631420E+03,  2.757770660392760E+04,",317.68,52.9,35.06,1128.844585,0
Deimos,Body,Mars,"214,194,165",2.40E+15,6,5.1,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.888905529124772E-04,  2.345444615996236E+04,  2.465803515027209E+01,  7.960115802687311E+01,  4.296355654500463E-01,  3.670987430243455E+04,  3.300103707974820E-03,  2.388536076952462E+02,  2.388350848903708E+02,  2.345887732027009E+04,  2.346330848057783E+04,  1.090874808358437E+05,",316.65,53.52,79.41,285.161897,0
Ceres,Body,Sol,"220,220,220",3.38E+20,963,891,Elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  7.587818344382088E-02,  3.821275793865652E+08,  1.058871198641810E+01,  8.044012615992716E+01,  7.376744991462888E+01,  2.951116717949276E+07,  2.483995991672890E-06,  2.866943790165514E+02,  2.781645783942951E+02,  4.135034716641547E+08,  4.448793639417442E+08,  1.449277700957769E+08,",291.42744,66.76033,0,952.1532,0
