Name,Type,Parent,Centre,Colour,Datatype,Data,Radii 1 (eq),Radii 2 (eq),Radii 3 (pol),Mass,Right Ascension of north pole (deg),Declination of north pole (deg),Meridian angle at epoch (deg),Angle per day,Texture alignment (deg),Atmosphere
Sol,body,None,None,"255,245,156",none,0,695700,695700,695700,1.98847000E+30,270,66.560708,0,0,0,none
Mercury,body,Sol,bodycentre,"228,218,235",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  2.056221960072329E-01,  4.600173710044913E+07,  7.003602212416863E+00,  4.830274104035806E+01,  2.919066612094208E+01,  1.293222667111719E+06,  4.736502701639309E-05,  2.987464734340415E+02,  2.758285647010495E+02,  5.790914205964896E+07,  6.981654701884879E+07,  7.600544593279838E+06,",4880,4880,4880,3.30110000E+23,281.01,61.45,329.548,6.14,0,none
Venus,body,Sol,bodycentre,"240,212,113",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  6.777616517211786E-03,  1.074771536043704E+08,  3.394481362022848E+00,  7.662081273510792E+01,  5.502515498116033E+01,  1.927661550223087E+06,  1.854276499709019E-05,  3.242558248802867E+02,  3.237989914110135E+02,  1.082105633055670E+08,  1.089439730067636E+08,  1.941458029891943E+07,",6051.8,6051.8,6051.8,4.86750000E+24,272.76,67.16,160.2,-1.4813688,0,none
Earth,body,Sol,bodycentre,"107,155,250",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.668282342859006E-02,  1.471008832800491E+08,  2.782558784727138E-03,  1.757199219204201E+02,  2.874043836018019E+02,  2.452497387329405E+05,  1.140766153471528E-05,  3.572022739890573E+02,  3.571069800403363E+02,  1.495965765521909E+08,  1.520922698243326E+08,  3.155773853427053E+07,",6378.137,6378.137,6356.752,5.97237000E+24,0,90,190.147,360.9856235,0,TRUE
Luna,body,Earth,barycentre,"230,230,230",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  7.097579789941713E-02,  3.535798513832199E+05,  5.182393007198418E+00,  6.093679776912997E+01,  2.106481241808646E+02,  9.320410287648642E+04,  1.521919013248541E-04,  3.458150903719502E+02,  3.436357819153541E+02,  3.805927236166220E+05,  4.076055958500241E+05,  2.365434670742294E+06,",1738.1,1738.1,1736,7.34900000E+22,269.9949,66.5392,38.3213,13.17635815,0,none
Mars,body,Sol,bodycentre,"204,124,090",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  9.339029941897962E-02,  2.066400969574015E+08,  1.847927677059216E+00,  4.949027169698177E+01,  2.867466370981844E+02,  1.482580354938661E+07,  6.065787148021879E-06,  2.700698313710336E+02,  2.594280791541661E+02,  2.279261923019042E+08,  2.492122876464069E+08,  5.934926353579684E+07,",3396.2,3396.2,3376.2,6.41741000E+23,317.68143,52.8865,176.63,350.8919823,0,TRUE
Phobos,body,Mars,bodycentre,"179,138,134",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.461986816934429E-02,  9.242011764207244E+03,  2.598090848547617E+01,  8.109041825745949E+01,  2.425437670676032E+02,  1.179174909324864E+04,  1.305402240912698E-02,  2.060702430939295E+02,  2.053459060662928E+02,  9.379133458919332E+03,  9.516255153631420E+03,  2.757770660392760E+04,",13.4,11.2,9.2,1.06585300E+16,317.68,52.9,35.06,1128.844585,0,none
Deimos,body,Mars,bodycentre,"214,194,165",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  1.888905529124772E-04,  2.345444615996236E+04,  2.465803515027209E+01,  7.960115802687311E+01,  4.296355654500463E-01,  3.670987430243455E+04,  3.300103707974820E-03,  2.388536076952462E+02,  2.388350848903708E+02,  2.345887732027009E+04,  2.346330848057783E+04,  1.090874808358437E+05,",7.5,6.1,5.2,1.47618800E+15,316.65,53.52,79.41,285.161897,0,none
Ceres,body,Sol,bodycentre,"160,160,160",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  7.848678419465376E-02,  3.813109690732947E+08,  1.058776036186186E+01,  8.026855745273087E+01,  7.364494212618641E+01,  2.940533269028245E+07,  2.479772579731807E-06,  2.870814622967462E+02,  2.782645378617091E+02,  4.137878464825404E+08,  4.462647238917860E+08,  1.451746030835355E+08,",482.2,482.1,445.9,9.38530000E+20,291.42744,66.76033,0,952.1532,0,none
Pallas,body,Sol,bodycentre,"160,160,160",elements,"2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  2.299795167397865E-01,  3.192473214925768E+08,  3.492415619671493E+01,  1.729160188115396E+02,  3.106711868319331E+02,  3.711365534348897E+07,  2.472526603491464E-06,  2.682354998104104E+02,  2.429673542892365E+02,  4.145958821003121E+08,  5.099444427080474E+08,  1.456000511750380E+08,",275,258,238,2.04000000E+20,0,90,0,1105.8209,0,none
